"Designator","Mid X (mm)","Mid Y (mm)","Layer","Rotation"
"C1","24","30","Top","0.0"
"C2","2.6","29.9","Top","0.0"
"C3","7.41","32.6","Top","180.0"
"C4","2.6","32.2","Top","0.0"
"C5","7.41","34.9","Top","180.0"
"C6","2.6","34.5","Top","0.0"
"C7","2.6","37","Top","0.0"
"C8","2.6","39.5","Top","0.0"
"C9","7.41","39.5","Top","180.0"
"C10","7.41","37.2","Top","180.0"
"C11","23.5","11","Top","90.0"
"C12","10.3","29.5","Top","90.0"
"C13","8.4","29.5","Top","90.0"
"C14","10","24.5","Top","90.0"
"C15","15.2","32","Top","180.0"
"C16","11.3","32.4","Top","0.0"
"D1","15.8","19.8","Top","270.0"
"J2","15","8.15","Top","0.0"
"J3","4","14.2","Top","270.0"
"J4","29","14.2","Top","90.0"
"L1","13","20","Top","180.0"
"L2","9.6","20","Top","270.0"
"R1","14.3","18.2","Top","180.0"
"R2","12","18.2","Top","180.0"
"R3","31","43.5","Top","180.0"
"R4","9.7","46.2","Top","90.0"
"R5","27.3","29","Top","0.0"
"R6","31","42","Top","180.0"
"R7","7","26.5","Top","90.0"
"R8","31","37.5","Top","0.0"
"R9","31","39","Top","180.0"
"R10","31","40.5","Top","0.0"
"RS1","31.4","31.567","Top","90.0"
"S1","3.5","26.7","Top","0.0"
"S2","29.5","26.1","Top","0.0"
"U1","20","45.84","Top","0.0"
"U2","8","56.498","Top","180.0"
"U3","20.5","19","Top","270.0"
"U4","15.5","26.5","Top","0.0"
"U77","4.5","47.5","Top","90.0"
